organization_id,organization,balance_audit_type,balance_type,balance_version,submission_date,issue_date,valid_until_date,balance_score,documents
14663.0,Müller Bau GmbH & Co KG,Audit,M5.0,Full,05-12-2018,30-06-2019,30-06-2021,249.0,Report+Attestation
14674.0,Nils Wittke,Audit,M5.0,Full,01-07-2018,31-05-2019,31-05-2021,515.0,Report+Attestation
14949.0,OeAD-WohnraumverwaltungsGmbH,Audit,M5.0,Full,13-12-2018,31-01-2019,31-01-2021,432.0,Report+Attestation
14676.0,Oekofrost,Audit,M4.1,Standard,15-11-2018,31-01-2019,31-01-2021,709.0,Report+Attestation
14677.0,Ökofairbau,Audit,M5.0,Compact,01-07-2018,31-01-2019,31-01-2021,209.0,Report+Attestation
14678.0,Ökoring Handels GmbH,Audit,M5.0,Full,25-10-2018,31-07-2019,31-07-2021,499.0,Report+Attestation
14679.0,Omnicert Umweltgutachter GmbH,Audit,M5.0,Full,09-08-2018,31-01-2019,31-01-2021,502.0,Report+Attestation
14680.0,Parkhotel Frank,Audit,M5.0,Compact,27-11-2018,31-01-2019,31-01-2021,421.0,Report+Attestation
14681.0,Peter Frank,Audit,M5.0,Full,30-05-2018,30-11-2018,30-11-2020,437.0,Report+Attestation
14682.0,Peter Weiss Stiftung (PWS)Literaturfestival,Audit,M5.0,Compact,25-07-2018,31-08-2018,31-08-2020,355.0,Report+Attestation
14683.0,Polarstern,Audit,M5.0,Compact,14-12-2017,31-03-2019,31-03-2021,434.0,Report+Attestation
14684.0,Regina Sörgel,Audit,M5.0,Compact,10-01-2021,31-05-2021,31-05-2023,384.0,Report+Attestation
29802.0,sinnovation – nachhaltig entwickeln,Audit,M5.0,Compact,21-01-2019,31-01-2019,31-01-2021,415.0,Report+Attestation
14686.0,SozKom,Audit,M5.0,Full,18-04-2018,30-11-2018,30-11-2020,441.0,Report+Attestation
14687.0,Sparda-Bank München eG,Audit,M4.1,Standard,03-12-2018,30-04-2019,30-04-2021,602.0,Report+Attestation
14688.0,Spider Netzwerk und Software GmbH,Audit,M5.0,Compact,01-07-2018,31-01-2019,31-01-2021,300.0,Report+Attestation
14689.0,Synthro,Audit,M5.0,Compact,31-05-2018,31-08-2018,31-08-2020,285.0,Attestation
14690.0,Trumer Privatbrauerei,Audit,M5.0,Compact,17-01-2019,30-06-2019,30-06-2021,329.0,Report+Attestation
14691.0,Ulrike Häussler,Audit,M5.0,Compact,01-09-2018,31-05-2019,31-05-2021,443.0,Report+Attestation
102365.0,Vinzenz Service GmbH,Audit,M5.0,Full,23-07-2018,31-10-2018,31-10-2020,254.0,Report+Attestation
14693.0,Wasmuth & Hörstel,Audit,M5.0,Full,01-07-2018,31-10-2018,31-10-2020,325.0,Report+Attestation
14694.0,Weiz Stadtmarketing KG,Audit,M5.0,Full,19-11-2018,31-07-2019,31-07-2021,626.0,Report+Attestation
14695.0,Heinz Ziegenbein GmbH & Co. KG,Audit,M5.0,Compact,02-08-2018,31-01-2019,31-01-2021,298.0,Attestation
14696.0,Bayer und Hochdörffer GbR,Audit,M5.0,Compact,08-05-2019,30-06-2019,30-06-2021,230.0,Report+Attestation
14711.0,Raiffeisenbank Lech/Arlberg reg. Genossenschaft m.b.H.,Audit,M5.0,Full,25-04-2019,30-04-2019,30-04-2021,483.0,Report+Attestation
14713.0,Thomas Henne,Audit,M5.0,Compact,22-03-2019,30-05-2019,30-05-2021,354.0,Report+Attestation
14708.0,Sonnentor Kräuterhandelsgesellschaft mbH,Audit,M5.0,Full,30-11-2018,31-07-2019,31-07-2021,725.0,Report+Attestation
14709.0,Stadtmobil Rhein-Neckar AG,Audit,M5.0,Compact,19-03-2019,30-06-2019,30-06-2021,503.0,Report+Attestation
14710.0,Proiectio,Audit,M5.0,Compact,27-03-2019,31-05-2019,31-05-2021,333.0,Report+Attestation
14712.0,"NAVISANA eG, seit 2019 GbR",Audit,M5.0,Full,05-04-2019,30-04-2019,30-04-2021,316.0,Report+Attestation
14707.0,Taifun-Tofu GmbH,Audit,M5.0,Full,17-04-2019,31-08-2019,31-08-2021,608.0,Report+Attestation
14697.0,Pelzl Beratung & Umsetzung,Audit,M5.0,Compact,09-05-2019,31-07-2019,31-07-2021,461.0,Report+Attestation
14700.0,Randegger Ottilien-Quelle GmbH,Audit,M5.0,Compact,13-05-2019,30-09-2019,30-09-2021,365.0,Report+Attestation
14701.0,"Stadtwerke München GmbH, Geschäftsbereich Bäder",Audit,M5.0,Full,13-05-2019,30-09-2019,30-09-2021,391.0,Report+Attestation
14746.0,BerlinBees Schüler*Innengenossenschaft,Audit,M5.0,Compact,10-06-2019,30-09-2020,30-09-2022,386.0,Report+Attestation
14734.0,Sonnendruck GmbH,Audit,M5.0,Compact,24-06-2019,31-10-2019,31-10-2021,495.0,Report+Attestation
14747.0,Matthias Brunk,Audit,M5.0,Compact,27-06-2019,31-10-2019,31-10-2021,473.0,Report+Attestation
14744.0,Dornbirner Sparkasse Bank AG,Audit,M5.0,Full,02-07-2019,31-03-2020,31-03-2022,455.0,Report+Attestation
14748.0,Husumer Horizonte,Audit,M5.0,Full,03-07-2019,30-11-2019,30-11-2021,373.0,Report+Attestation
14766.0,"cibaria GmbH, ökologisch-biologische Vollkornbäckerei",Audit,M5.0,Full,28-06-2019,30-11-2019,30-11-2021,635.0,Report+Attestation
34879.0,St.Rochus-Apotheke,Audit,M5.0,Full,10-07-2019,31-10-2019,31-10-2021,455.0,Report+Attestation
14771.0,Nellie Nashorn Soziokultur gGmbH,Audit,M5.0,Full,11-07-2019,30-11-2019,30-11-2021,408.0,Report+Attestation
14772.0,ananjo informatiker,Audit,M5.0,Compact,12-07-2019,31-12-2019,31-12-2021,290.0,Report+Attestation
14773.0,Gesellschaft für angewandte Kommunalforschung,Audit,M5.0,Full,12-07-2019,31-10-2019,31-10-2021,529.0,Report+Attestation
163148.0,rw-cct gmbh,Audit,M5.0,Compact,15-07-2019,30-09-2020,30-09-2022,478.0,Report+Attestation
14755.0,"LEWANDOWSKI Beratung, Analyse, Entwicklung",Audit,M5.0,Compact,16-07-2019,30-09-2018,30-09-2020,640.0,Report+Attestation
14756.0,Laube sozial-psychiatrische Aktivitäten GmbH,Audit,M5.0,Compact,18-07-2019,28-02-2020,28-02-2022,289.0,Report+Attestation
14758.0,Wohnanlage Fasanenhof gGmbH,Audit,M5.0,Compact,05-08-2019,30-11-2019,30-11-2021,444.0,Report+Attestation
14765.0,Blattwerk Gartengestaltung GmbH,Audit,M5.0,Compact,05-08-2019,31-10-2019,31-10-2021,442.0,Report+Attestation
14792.0,Ecofit Biofruchtimport GmbH,Audit,M5.0,Compact,06-08-2019,30-11-2019,30-11-2021,349.0,Report+Attestation
14779.0,WBS TRAINING AG,Audit,M5.0,Full,14-08-2019,31-01-2020,31-01-2022,356.0,Report+Attestation
14788.0,Lilly Deutschland GmbH,Audit,M5.0,Full,20-08-2019,31-01-2020,31-01-2022,318.0,Report+Attestation
14790.0,mg: mannheimer gründungszentren gmbh,Audit,M5.0,Full,28-08-2019,28-02-2020,28-02-2022,230.0,Report+Attestation
46088.0,Yellow Birds Consulting GmbH & Co. KG,Audit,M5.0,Compact,02-09-2019,31-12-2017,31-12-2019,319.0,Report+Attestation
14794.0,St. Virgil Salzburg,Audit,M5.0,Compact,09-09-2019,30-04-2020,30-04-2022,411.0,Report+Attestation
14812.0,Hans Stockmar GmbH & Co.KG,Audit,M5.0,Full,09-09-2019,30-04-2020,30-04-2022,554.0,Report+Attestation
14805.0,Fahnen-Gärtner GmbH,Audit,M5.0,Full,13-09-2019,31-12-2019,31-12-2021,450.0,Report+Attestation
14806.0,Tourismusverband Wilder Kaiser,Audit,M5.0,Compact,13-09-2019,31-12-2019,31-12-2021,508.0,Report+Attestation
14809.0,Mobility Center GmbH,Audit,M5.0,Full,13-09-2019,31-01-2020,31-01-2022,454.0,Report+Attestation
14795.0,Vägen Ut! Kooperativen,Audit,M5.0,Full,26-09-2019,30-04-2020,30-04-2022,660.0,Attestation
14811.0,Trafik Doppelhammer,Audit,M5.0,Compact,16-10-2019,31-12-2017,31-12-2019,153.0,Report+Attestation
14796.0,INFO GmbH,Audit,M5.0,Compact,22-10-2019,31-12-2019,31-12-2021,310.0,Report+Attestation
14798.0,Michael Selig – Berater für Organisation und Transformation,Audit,M5.0,Compact,23-10-2019,31-12-2019,31-12-2021,473.0,Report+Attestation
14816.0,CMP Competent Management Partners AG,Audit,M5.0,Compact,29-10-2019,31-12-2019,31-12-2021,521.0,Report+Attestation
14817.0,Melchinger Systemhaus UG (haftungsbeschränkt),Audit,M5.0,Compact,02-11-2019,31-12-2019,31-12-2021,288.0,Report+Attestation
14818.0,"Amann, Ulrike, Raum für Gemeinwesenentwicklung",Audit,M5.0,Compact,11-05-2017,31-07-2018,31-07-2020,489.0,Report+Attestation
14824.0,Berg Anne,Audit,M5.0,Full,11-05-2017,30-09-2018,30-09-2020,557.0,Report+Attestation
14938.0,BKK ProVita,Audit,M5.0,Full,11-05-2017,30-01-2018,30-01-2020,604.0,Report+Attestation
14846.0,Eigenbetrieb Leben und Wohnen der Landeshauptstadt Stuttgart (ELW),Audit,M5.0,Full,11-05-2018,30-12-2017,30-12-2019,408.0,Report+Attestation
85120.0,elobau GmbH & Co KG,Audit,M5.0,Full,11-05-2017,30-06-2018,30-06-2020,449.0,Report+Attestation
14850.0,EM-faktor GmbH – die social profit agentur,Audit,M5.0,Compact,01-01-2018,30-09-2018,30-09-2020,470.0,Report+Attestation
14853.0,Team Christian Felber (2018),Audit,M5.0,Full,15-01-2018,30-04-2018,30-04-2020,647.0,Attestation
82684.0,innovia gem GmbH,Audit,M5.0,Full,11-05-2018,28-02-2019,28-02-2021,623.0,Report+Attestation
14855.0,"Knakruegge, Lutz",Audit,M5.0,Compact,15-11-2019,30-05-2018,30-05-2020,406.0,Report+Attestation
14857.0,Lenz Consulting,Audit,M5.0,Compact,15-11-2019,30-04-2018,30-04-2020,459.0,
14863.0,Gebhard Moser,Audit,M5.0,Compact,01-11-2019,30-04-2018,30-04-2020,418.0,Report+Attestation
14864.0,"Müller, Horst",Audit,M5.0,Compact,15-01-2018,31-03-2018,31-03-2020,506.0,Report+Attestation
14866.0,Dirk Posse,Audit,M5.0,Compact,15-11-2019,31-05-2018,31-05-2020,507.0,Report+Attestation
14870.0,SES Stadtentwässerung Stuttgart,Audit,M5.0,Full,11-05-2017,30-04-2018,30-04-2020,430.0,Report+Attestation
14975.0,Urte Töpfer – Wirtschaften mit Menschen,Audit,M5.0,Compact,01-11-2017,30-10-2017,30-10-2019,451.0,Report
14880.0,WeShareIT-Ulrich Lang,Audit,M5.0,Compact,30-01-2018,30-01-2018,30-01-2020,500.0,
18750.0,Wittig HR-CONSULTING,Audit,M5.0,Compact,01-11-2019,30-06-2018,30-06-2020,507.0,Report+Attestation
14887.0,Abitare,Audit,M4.1,Standard,11-05-2017,30-11-2018,30-11-2020,476.0,Attestation
14889.0,Alpendruck,Audit,M5.0,Compact,11-05-2018,31-12-2018,31-12-2020,304.0,Report+Attestation
67207.0,Atelier Marianna,Audit,M5.0,Compact,11-05-2017,31-10-2018,31-10-2020,517.0,Report+Attestation
14891.0,AUROBIA GmbH & Co KG,Audit,M5.0,Compact,11-05-2017,31-05-2016,31-05-2018,141.0,Report+Attestation
127354.0,B.A.U.M. Consult GmbH,Audit,M5.0,Compact,11-05-2017,30-11-2018,30-11-2020,430.0,Report+Attestation
14893.0,Bausinger GmbH,Audit,M5.0,Compact,11-05-2017,30-09-2018,30-09-2020,517.0,Report+Attestation
14894.0,BfG – Genossenschaft für Gemeinwohl,Audit,M5.0,Compact,11-05-2017,31-01-2018,31-01-2020,495.0,Report+Attestation
14895.0,Bodan,Audit,M4.1,Standard,11-05-2017,31-03-2018,31-03-2020,,Report+Attestation
14896.0,BTE Tourismus- und Regionalberatung,Audit,M4.1,Standard,30-11-2017,31-10-2018,31-10-2020,443.0,Report+Attestation
14897.0,Cappel,Audit,M5.0,Compact,11-05-2017,31-10-2018,31-10-2020,591.0,Report+Attestation
14898.0,Christian Jensen Kolleg,Audit,M4.1,Standard,11-05-2017,28-02-2019,28-02-2021,528.0,Report+Attestation
14900.0,Der Fährmann Bestattung und Trauerrituale Bernhard Schöpfer OG,Audit,M5.0,Compact,03-09-2018,31-12-2018,31-12-2020,406.0,Report+Attestation
14901.0,Fohlenhof Astner,Audit,M5.0,Compact,11-05-2017,31-10-2018,31-10-2020,441.0,Report+Attestation
14902.0,Helmut Kähler,Audit,M5.0,Compact,09-04-2018,31-03-2018,31-03-2020,300.0,
14903.0,Johanna Paul,Audit,M4.1,Standard,01-02-2018,31-05-2018,31-05-2020,649.0,Attestation
14904.0,Gemeinde Kirchanschöring,Audit,M1.2,Municipal,15-11-2019,31-10-2018,31-10-2020,588.0,Report+Attestation
14905.0,Manfred Jotter – Besser Wirtschaften,Audit,M5.0,Compact,01-06-2018,20-09-2018,20-09-2020,603.0,Report+Attestation
14906.0,Dynamic Governance Führung und Ethik in der Unternehmensentwicklung Petra Ostfeld,Audit,M5.0,Compact,03-08-2018,31-12-2018,31-12-2020,424.0,Report+Attestation
14907.0,PRIOR1 GmbH,Audit,M5.0,Compact,11-05-2018,31-12-2018,31-12-2020,336.0,Report+Attestation
14908.0,Private Hortgruppe Mobile,Audit,M5.0,Compact,11-05-2017,31-12-2018,31-12-2020,480.0,Report+Attestation
14909.0,Regionalenergie Osttirol reg. Gen. m.b.H.,Audit,M5.0,Compact,11-05-2017,31-10-2018,31-10-2020,479.0,Report+Attestation
14910.0,Sanoll,Audit,M5.0,Compact,01-09-2018,31-12-2018,31-12-2020,581.0,Report+Attestation
14911.0,Bürogemeinschaft Sehlbach,Audit,M5.0,Compact,01-06-2018,30-09-2018,30-09-2020,216.0,Report+Attestation
14912.0,Seifenmanufaktur-Neururer gmbh,Audit,M5.0,Compact,11-05-2017,31-12-2018,31-12-2020,331.0,Report+Attestation
14913.0,SpreeTrain Consulting,Audit,M5.0,Compact,15-11-2019,31-10-2018,31-10-2020,248.0,Report+Attestation
14914.0,Schloss Tempelhof eG,Audit,M4.1,Standard,01-11-2019,30-04-2018,30-04-2020,783.0,Report+Attestation
47041.0,Thomas Uloth Unternehmensberatung,Audit,M5.0,Compact,01-07-2018,30-09-2018,30-09-2020,171.0,Report
14917.0,Vaude,Audit,M5.0,Full,11-05-2018,30-03-2018,30-03-2020,631.0,Report+Attestation
14918.0,Waldtraud Dietrich,Audit,M5.0,Compact,01-10-2018,31-12-2018,31-12-2020,312.0,Report+Attestation
14919.0,Wiedemann Jörn,Audit,M5.0,Compact,01-08-2018,30-11-2018,30-11-2020,457.0,Report+Attestation
14925.0,Samariterstiftung,Audit,M5.0,Full,05-11-2019,30-06-2020,30-06-2022,482.0,Report+Attestation
14928.0,Gemeinde Mäder,Audit,M1.2,Municipal,11-11-2019,31-01-2020,31-01-2022,567.0,Report+Attestation
14853.0,Team Christian Felber,Audit,M5.0,Compact,12-11-2019,30-09-2020,30-09-2022,674.0,Report+Attestation
14932.0,"Susanne Dahncke, Coaching für Querdenker",Audit,M5.0,Full,14-11-2019,31-03-2020,31-03-2022,327.0,Report+Attestation
14933.0,Gunz Warenhandels GmbH,Audit,M5.0,Compact,14-11-2019,31-01-2020,31-01-2022,332.0,Report+Attestation
14950.0,BfG Eigentümer/-innen- und Verwaltungsgenossenschaft eG,Audit,M5.0,Compact,03-12-2019,28-02-2020,28-02-2022,457.0,Report+Attestation
14936.0,easySoft. GmbH,Audit,M5.0,Compact,12-12-2019,31-03-2020,31-03-2022,442.0,Report+Attestation
14946.0,Gerd Pöll,Audit,M5.0,Compact,15-12-2019,31-03-2020,31-03-2022,435.0,Report+Attestation
14948.0,Judith Gunkel Unternehmensberatung,Audit,M5.0,Compact,16-12-2019,31-03-2020,31-03-2022,502.0,Report+Attestation
14949.0,OeAD-WohnraumverwaltungsGmbH,Audit,M5.0,Full,16-12-2019,31-03-2020,31-03-2022,520.0,Report+Attestation
14951.0,Pizzinini Busreisen,Audit,M5.0,Compact,17-12-2019,31-12-2019,31-12-2021,344.0,Report+Attestation
14938.0,BKK ProVita,Audit,M5.0,Full,20-12-2019,31-01-2020,31-01-2022,790.0,Report+Attestation
14939.0,Seminarhaus deinsdorf e.V.,Audit,M5.0,Compact,21-12-2019,31-05-2020,31-05-2022,488.0,Report+Attestation
14940.0,Moin Bio Backwaren GmbH,Audit,M5.0,Full,23-12-2019,28-02-2020,28-02-2022,533.0,Report+Attestation
14942.0,NoviTech e.U.,Audit,M5.0,Compact,27-12-2019,31-03-2020,31-03-2022,312.0,Report+Attestation
14953.0,fairagent Int. FAI UG (haftungsbeschränkt),Audit,M5.0,Compact,06-01-2020,30-09-2020,30-09-2022,202.0,Report+Attestation
14934.0,Think fresh,Audit,M5.0,Compact,09-01-2020,31-03-2020,31-03-2022,317.0,Report+Attestation
14964.0,kleindienst outdoor-assisted-development,Audit,M5.0,Compact,15-01-2020,31-05-2020,31-05-2022,495.0,Report+Attestation
14954.0,Diakonie Herzogsägmühle,Audit,M5.0,Full,31-01-2020,30-11-2020,30-11-2022,346.0,Report+Attestation
124636.0,Vorarlberger Landes-Versicherung V.a.G.,Audit,M5.0,Compact,04-02-2020,31-07-2020,31-07-2022,247.0,Report+Attestation
14973.0,Adelby 1 Kinder- und Jugenddienste gGmbH,Audit,M5.0,Full,05-02-2020,30-09-2020,30-09-2022,392.0,Report+Attestation
14955.0,n.e.s.t. Bauprojektierung und Vermietung AG,Audit,M5.0,Full,06-02-2020,31-05-2020,31-05-2022,506.0,Report+Attestation
14961.0,Mick Petersmann,Audit,M5.0,Compact,12-02-2020,30-04-2020,30-04-2022,525.0,Report+Attestation
14962.0,Voelkel GmbH,Audit,M5.0,Full,11-02-2020,31-10-2020,31-10-2022,584.0,Report+Attestation
14963.0,monomeer. Alles ohne Plastik,Audit,M5.0,Compact,12-02-2020,31-05-2020,31-05-2022,443.0,Report+Attestation
14980.0,Stadtwerke Marburg GmbH,Audit,M5.0,Full,25-02-2020,31-08-2020,31-08-2022,380.0,Report+Attestation
14989.0,confideon Unternehmensberatung GmbH,Audit,M5.0,Compact,11-03-2020,31-07-2020,31-07-2022,489.0,Report+Attestation
14974.0,Dr. Gabriele Mönicke,Audit,M5.0,Compact,06-04-2020,31-05-2020,31-05-2022,386.0,Report+Attestation
14975.0,Führen mit… Urte Töpfer,Audit,M5.0,Compact,07-04-2020,31-05-2020,31-05-2022,438.0,Report+Attestation
14981.0,"Thomas Mönius, Gemeinwohlberater",Audit,M5.0,Compact,08-04-2020,31-05-2020,31-05-2022,465.0,Report+Attestation
14988.0,DR. ULRICH WIEK Training & Coaching,Audit,M5.0,Compact,20-04-2020,30-09-2020,30-09-2022,205.0,Report+Attestation
14998.0,Forst Baden-Württemberg (ForstBW),Audit,M5.0,Full,21-04-2020,31-08-2020,31-08-2022,577.0,Report+Attestation
14997.0,Spitalstiftung Konstanz,Audit,M5.0,Compact,28-04-2020,31-05-2020,31-05-2022,376.0,Report+Attestation
35308.0,Strom vom Dach,Audit,M5.0,Compact,16-12-2019,31-05-2020,31-05-2022,398.0,Report+Attestation
15515.0,Steuerkanzlei Heinrich,Audit,M5.0,Compact,22-05-2020,31-10-2020,31-10-2022,315.0,Report+Attestation
15520.0,Bichlbäck,Audit,M5.0,Compact,22-05-2020,31-05-2020,31-05-2022,402.0,Report+Attestation
15525.0,"Stadtwerke Kufstein GmbH, Wasserabteilunge",Audit,M5.0,Compact,22-05-2020,31-05-2020,31-05-2022,380.0,Report+Attestation
15588.0,"Möckernkiez Genossenschaft für selbstverwaltetes, soziales und ökologisches Wohnen eG",Audit,M5.0,Compact,26-05-2020,30-09-2020,30-09-2022,510.0,Report+Attestation
15653.0,Vitark NV,Audit,M5.0,Compact,27-05-2020,31-07-2020,31-07-2022,348.0,Report+Attestation
15717.0,Stadtverwaltung Steinheim,Audit,M5.0,Full,28-05-2020,31-08-2020,31-08-2022,423.0,Report+Attestation
15795.0,EarthWays,Audit,M5.0,Compact,31-05-2020,31-07-2020,31-07-2022,382.0,Report+Attestation
17165.0,swapwork UG (haftungsbeschränkt),Audit,M5.0,Compact,10-06-2020,31-07-2020,31-07-2022,504.0,Report+Attestation
17277.0,Avesani Marta,Audit,M5.0,Full,15-06-2020,,,,
78957.0,Gemeinhardt Service GmbH,Audit,M5.0,Compact,16-06-2020,31-10-2020,31-10-2022,377.0,Report+Attestation
17841.0,Gemeinwohl-Ökonomie Berlin-Brandenburg e.V.,Audit,M5.0,Compact,21-06-2020,31-08-2020,31-08-2022,422.0,Report+Attestation
18100.0,Kulturquartier Münster GmbH,Audit,M5.0,Compact,24-06-2020,31-08-2020,31-08-2022,717.0,Report+Attestation
18598.0,Novatec Consulting GmbH,Audit,M5.0,Compact,06-07-2020,31-10-2020,31-10-2022,239.0,Report+Attestation
14882.0,WITTIG HR CONSULTING,Audit,M5.0,Compact,07-07-2020,31-08-2020,31-08-2022,537.0,Report+Attestation
19081.0,Greenpeace e.V.,Audit,M5.0,Full,15-07-2020,31-10-2020,31-10-2022,707.0,Report+Attestation
19131.0,Ynova Innovation Company BV,Audit,M5.0,Compact,15-07-2020,31-10-2020,31-10-2022,300.0,Report+Attestation
19279.0,Macrolibrarsi di Golden Books S.r.l.,Audit,M5.0,Full,07-12-2018,30-01-2019,30-01-2021,418.0,Report+Attestation
19282.0,Remedia di Satanassi & Bosch Società Agricola S.S.,Audit,M5.0,Full,07-12-2018,30-01-2019,30-01-2021,626.0,Report+Attestation
19285.0,Cappelletti + Bongiovanni Srl,Audit,M5.0,Full,07-12-2018,30-01-2019,30-01-2021,472.0,Report+Attestation
102365.0,Vinzenz Service GmbH,Audit,M5.0,Full,30-07-2020,31-12-2020,31-12-2022,372.0,Report+Attestation
135008.0,Bean United GmbH,Audit,M5.0,Full,07-08-2020,31-10-2020,31-10-2022,357.0,Report+Attestation
19870.0,Lebenshilfe Tirol gem. GmbH,Audit,M5.0,Full,13-08-2020,28-02-2021,28-02-2023,312.0,Attestation
20027.0,OIKOPOLIS Participations SA,Audit,M5.0,Full,19-08-2020,28-02-2021,28-02-2023,669.0,Report+Attestation
20289.0,Sächsische Aufbaubank – Förderbank,Audit,M5.0,Full,04-09-2020,31-05-2021,31-05-2023,370.0,Report+Attestation
20569.0,Gerd Lauermann,Audit,M5.0,Compact,15-09-2020,28-02-2021,28-02-2023,539.0,Report+Attestation
40119.0,Prof. Dr. Bernd Hümmer,Audit,M5.0,Full,17-09-2020,30-11-2020,30-11-2022,207.0,Report+Attestation
21191.0,Qaizen GmbH,Audit,M5.0,Full,25-09-2020,31-01-2021,31-01-2023,267.0,Report+Attestation
21570.0,Nell-Breuning-Haus,Audit,M5.0,Compact,05-10-2020,31-01-2021,31-01-2023,331.0,Report+Attestation
21623.0,Sparkasse Berchtesgadener Land,Audit,M5.0,Full,06-10-2020,31-01-2021,31-01-2023,432.0,Report+Attestation
14849.0,EM-Chiemgau- Christoph Fischer GmbH,Audit,M5.0,Full,08-10-2020,31-03-2021,31-03-2023,555.0,Report+Attestation
22084.0,Diözese St. Pölten – Jugendhaus Schacherhof,Audit,M5.0,Compact,13-10-2020,30-11-2020,30-11-2022,496.0,Report+Attestation
14686.0,SozKom,Audit,M5.0,Full,15-10-2020,31-12-2020,31-12-2022,443.0,Report+Attestation
22408.0,bhz Stuttgart e.V.,Audit,M5.0,Compact,21-10-2020,31-12-2020,31-12-2022,357.0,Report+Attestation
22420.0,Evangelisches Johannesstift Jugendhilfe gGmbH,Audit,M5.0,Full,22-10-2020,28-02-2021,28-02-2023,370.0,Report+Attestation
22580.0,doubleSlash Net-Business GmbH,Audit,M5.0,Full,26-10-2020,31-03-2021,31-03-2023,324.0,Report+Attestation
22589.0,Organisationsberatung Annelen Schulze Höing,Audit,M5.0,Compact,26-10-2020,28-02-2021,28-02-2023,300.0,Report+Attestation
22837.0,Lindig Coaching-Wachstum-Integraton,Audit,M5.0,Compact,26-10-2020,31-03-2021,31-03-2023,344.0,Report+Attestation
23161.0,Hans Meyer,Audit,M5.0,Compact,03-11-2020,31-01-2021,31-01-2023,316.0,Report+Attestation
14683.0,Polarstern,Audit,M5.0,Full,04-11-2020,31-03-2021,31-03-2023,516.0,Report+Attestation
23225.0,followfood GmbH,Audit,M5.0,Compact,05-11-2020,31-08-2021,31-08-2023,719.0,Report+Attestation
14693.0,Wasmuth & Hörstel,Audit,M5.0,Compact,10-11-2020,31-08-2021,31-08-2023,457.0,Report+Attestation
85120.0,elobau GmbH & Co KG,Audit,M5.0,Full,21-12-2020,31-01-2021,31-01-2023,602.0,Report+Attestation
14679.0,Omnicert Umweltgutachter GmbH,Audit,M5.0,Full,12-11-2020,28-02-2021,28-02-2023,441.0,Report+Attestation
23715.0,Regensburg Tourismus GmbH (RTG),Audit,M5.0,Compact,16-11-2020,28-02-2021,28-02-2023,526.0,Report+Attestation
24528.0,Dr. Langniß Energie & Analyse,Audit,M5.0,Compact,01-12-2020,31-01-2021,31-01-2023,371.0,Report+Attestation
24791.0,WFG Bornheim,Audit,M5.0,Full,07-12-2020,28-02-2021,28-02-2023,306.0,Report+Attestation
25050.0,visuellverstehen GmbH,Audit,M5.0,Compact,14-12-2020,31-03-2021,31-03-2023,405.0,Report+Attestation
25192.0,Wolf Oeding Unternehmensberatung,Audit,M5.0,Compact,16-12-2020,31-05-2021,31-05-2023,535.0,Attestation
14891.0,AUROBIA GmbH & Co KG,Audit,M5.0,Compact,17-12-2020,30-04-2021,30-04-2023,151.0,Report+Attestation
25379.0,Westerwald-Brauerei H.Schneider GmbH & Co.KG,Audit,M5.0,Compact,18-12-2020,30-06-2021,30-06-2023,302.0,Report+Attestation
